NN LSH
0	771	267	152	18	14	
1	853	205	115	265	461	
2	212	592	168	99	173	
3	945	447	507	92	865	
4	945	447	507	92	865	
5	819	443	864	14	447	
6	945	447	507	92	865	
7	779	160	782	196	23	
8	120	771	447	904	533	
9	894	656	905	290	41	
10	152	14	8	254	904	
11	18	859	473	5	712	
12	147	82	572	447	507	
13	377	670	945	712	447	
14	196	771	904	23	18	
15	854	34	132	780	945	
16	23	153	309	319	152	
17	49	574	918	543	613	
18	945	310	743	413	824	
19	969	423	619	78	245	
20	352	349	776	791	873	
21	844	169	141	20	771	
22	904	937	165	312	621	
23	579	251	567	730	771	
24	212	780	447	282	945	
25	447	335	504	771	23	
26	865	302	129	447	109	
27	193	56	474	513	152	
28	715	101	60	119	269	
29	254	340	325	447	904	
30	712	459	196	18	23	
31	945	783	771	904	23	
32	903	259	979	237	551	
33	823	308	533	115	63	
34	245	85	123	515	554	
35	92	507	904	23	8	
36	948	225	780	945	282	
37	77	11	945	133	780	
38	132	569	613	702	872	
39	519	243	917	98	780	
40	41	408	447	712	254	
41	881	712	945	904	771	
42	468	124	819	120	712	
43	282	780	655	771	23	
44	709	788	780	282	945	
45	740	342	722	763	843	
46	758	418	945	23	447	
47	751	278	528	239	861	
48	908	593	560	771	819	
49	17	935	740	950	771	
50	905	53	243	771	447	
51	911	647	771	152	14	
52	618	839	56	4	904	
53	539	447	904	193	23	
54	291	772	688	910	837	
55	533	447	945	77	865	
56	708	751	649	922	330	
57	945	447	507	92	865	
58	438	447	904	254	335	
59	945	447	507	92	865	
60	462	13	808	193	118	
61	97	191	712	254	771	
62	848	664	340	945	77	
63	575	254	712	193	447	
64	945	447	507	92	865	
65	268	460	830	261	420	
66	838	909	866	904	23	
67	641	317	447	771	131	
68	533	209	255	951	771	
69	945	447	507	92	865	
70	315	885	945	77	254	
71	454	843	310	165	667	
72	303	601	890	504	834	
73	532	771	447	904	152	
74	268	377	200	336	409	
75	193	447	945	77	865	
76	456	773	152	926	464	
77	395	716	266	622	771	
78	806	447	771	904	23	
79	234	440	418	523	23	
80	340	541	828	771	447	
81	93	661	755	945	771	
82	280	861	29	469	706	
83	0	771	447	254	663	
84	395	897	61	661	771	
85	951	404	447	165	268	
86	866	912	745	771	780	
87	372	126	771	23	50	
88	685	447	712	771	193	
89	180	630	687	644	771	
90	574	447	780	945	77	
91	471	551	49	771	447	
92	348	485	152	584	385	
93	593	780	945	282	447	
94	318	966	152	447	904	
95	502	23	152	18	196	
96	945	447	507	92	865	
97	440	91	804	581	771	
98	817	596	474	254	771	
99	794	33	771	611	873	
Execution time: 0.483341 seconds
